9950 9949
251812 -0.58617 SAD
266265 -0.586152 SAD
260378 -0.586111 SAD
246966 -0.58605 SAD
146603 -0.585968 SAD
234330 -0.585957 SAD
298275 -0.585924 MAX
234702 -0.585875 SAD
272794 -0.585661 SAD
138127 -0.585574 SAD
291214 -0.585485 SAD
196494 -0.585369 SAD
247156 -0.585242 SAD
264325 -0.585157 SAD
177817 -0.585154 SAD
121056 -0.585075 SAD
109092 -0.585022 SAD
164975 -0.585012 SAD
121798 -0.584972 SAD
298047 -0.584921 SAD
102882 -0.584796 SAD
164902 -0.58479 SAD
284899 -0.584756 SAD
115397 -0.58474 SAD
277034 -0.584684 SAD
234449 -0.584569 SAD
247119 -0.584445 SAD
182650 -0.584233 SAD
152270 -0.584196 SAD
79927 -0.584162 SAD
304352 -0.584139 SAD
296138 -0.584076 SAD
177720 -0.583999 SAD
215884 -0.583957 SAD
215436 -0.583882 SAD
283529 -0.583858 MAX
109181 -0.583814 SAD
284984 -0.583758 SAD
144529 -0.583751 SAD
240565 -0.583715 SAD
190121 -0.583601 SAD
279034 -0.583497 SAD
247378 -0.583485 SAD
146634 -0.583402 SAD
102787 -0.583284 SAD
317225 -0.583238 SAD
89853 -0.582955 SAD
171921 -0.582866 SAD
115490 -0.582683 MAX
241120 -0.582485 SAD
140608 -0.582483 SAD
304159 -0.582447 SAD
184025 -0.582441 SAD
134303 -0.582298 SAD
115366 -0.58226 SAD
332225 -0.582255 SAD
152843 -0.582167 SAD
109184 -0.582056 MAX
254104 -0.582004 SAD
96577 -0.581991 SAD
298113 -0.581888 SAD
121702 -0.581872 SAD
266781 -0.581795 SAD
258117 -0.581765 SAD
121606 -0.581623 SAD
291909 -0.581615 MAX
139778 -0.581509 SAD
115332 -0.581501 MAX
108996 -0.58138 SAD
346698 -0.581281 SAD
221742 -0.581272 SAD
266520 -0.580924 SAD
323202 -0.58092 SAD
310722 -0.580847 SAD
285603 -0.580709 MAX
303920 -0.580701 SAD
296147 -0.580683 SAD
253271 -0.580586 SAD
127880 -0.580573 SAD
228126 -0.580468 SAD
158574 -0.580238 SAD
260020 -0.580193 SAD
323429 -0.580138 SAD
96511 -0.580081 SAD
310887 -0.579936 SAD
273089 -0.579929 MAX
100772 -0.579926 SAD
259577 -0.579916 SAD
121796 -0.579813 MAX
109124 -0.579747 MAX
247812 -0.579728 SAD
165017 -0.579632 SAD
104629 -0.579597 MAX
134089 -0.579552 SAD
253461 -0.57948 SAD
289834 -0.579477 MAX
140777 -0.579471 SAD
114751 -0.579453 SAD
183831 -0.579288 SAD
165519 -0.579254 SAD
131822 -0.579253 SAD
127998 -0.579244 SAD
241007 -0.579105 SAD
109026 -0.579093 SAD
246870 -0.579058 SAD
260475 -0.578823 SAD
272570 -0.578802 SAD
164879 -0.5788 SAD
139768 -0.578798 SAD
195358 -0.578781 SAD
240564 -0.57877 SAD
83548 -0.578737 SAD
102691 -0.578668 SAD
254185 -0.578552 SAD
310398 -0.578548 SAD
298178 -0.578516 MAX
201663 -0.578416 SAD
336135 -0.578388 SAD
291289 -0.578331 SAD
260117 -0.578321 SAD
127911 -0.578274 SAD
291710 -0.578227 SAD
252105 -0.578102 SAD
285405 -0.578049 SAD
259923 -0.578044 SAD
138224 -0.577955 SAD
189052 -0.577954 SAD
234258 -0.577902 SAD
264716 -0.577807 SAD
247895 -0.577756 SAD
228047 -0.577734 SAD
251909 -0.577666 SAD
146989 -0.577664 SAD
171280 -0.577629 SAD
207968 -0.577625 SAD
133473 -0.577574 SAD
272631 -0.577552 SAD
323530 -0.577492 SAD
128103 -0.577214 SAD
178226 -0.577097 SAD
264422 -0.577026 SAD
215787 -0.57688 SAD
298015 -0.576689 SAD
146913 -0.576537 SAD
266168 -0.576536 SAD
329733 -0.576535 SAD
279298 -0.576412 MAX
260392 -0.576392 SAD
272189 -0.576207 SAD
304580 -0.576179 MAX
279002 -0.576073 SAD
272728 -0.576065 SAD
177435 -0.576054 SAD
297519 -0.576043 SAD
102720 -0.57599 SAD
177682 -0.575973 SAD
285242 -0.575938 SAD
134282 -0.575852 SAD
94562 -0.575804 SAD
304484 -0.575801 SAD
266880 -0.575716 SAD
133462 -0.575713 SAD
272534 -0.575697 SAD
128007 -0.575646 SAD
317027 -0.57555 SAD
277327 -0.575528 SAD
241217 -0.575451 SAD
190186 -0.57541 SAD
171184 -0.575174 SAD
266294 -0.575056 SAD
121693 -0.575054 SAD
317127 -0.57498 SAD
190117 -0.574963 SAD
233284 -0.574948 SAD
184181 -0.574869 SAD
296139 -0.574771 MAX
90271 -0.57471 SAD
164724 -0.574689 SAD
96386 -0.574666 SAD
121575 -0.574547 SAD
285504 -0.574501 SAD
253424 -0.574462 SAD
105020 -0.574419 MAX
234428 -0.574356 SAD
253390 -0.574351 SAD
246869 -0.574125 SAD
239589 -0.574118 SAD
258312 -0.574115 SAD
208064 -0.57408 SAD
234818 -0.573988 SAD
115300 -0.573909 SAD
253175 -0.573892 SAD
304320 -0.573762 SAD
342755 -0.573749 SAD
234352 -0.573726 SAD
115235 -0.573562 MAX
128102 -0.57352 MAX
265882 -0.57348 SAD
258214 -0.573469 SAD
171759 -0.573437 SAD
73622 -0.573239 SAD
270923 -0.573237 SAD
116849 -0.573202 MAX
59218 -0.573111 SAD
245799 -0.573106 SAD
278495 -0.573073 SAD
209161 -0.572986 SAD
245894 -0.572878 SAD
201759 -0.572821 SAD
271021 -0.572813 SAD
159214 -0.572792 SAD
259826 -0.572753 SAD
125517 -0.572705 SAD
284802 -0.572633 SAD
140298 -0.572592 SAD
297594 -0.572571 SAD
323266 -0.572539 SAD
109027 -0.572295 MAX
